data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
<<<<<<< HEAD
2020-05-04T17:00:00,ITA,16823,1479,18302,81678,99980,-199,1221,82879,29079,211938,2191403,1479910,dc-IT-0019,dc-EN-0019
=======
2020-05-05T17:00:00,ITA,16270,1427,17697,80770,98467,-1513,1075,85231,29315,213013,2246666,1512121,,
>>>>>>> a56fb69e64f9db33c8fdba5bc95c2a6cc9188e40
